policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
gkt_timebudget,0,256,s256_t15,Struggling,64.0,39.5,82.67853354337888,62.8481669292236,24.5,0.6470201533059893,1.04833645092616,3662.946181645717,62.94618164571739,1,0.3673469387755102,49,25,22,25,2,True,0.25
bkt_timebudget,0,256,s256_t15,Struggling,56.0,30.0,75.21188081766576,54.01485102208221,26.0,0.4908600185360041,0.916272034600541,3667.033231528047,67.0332315280466,1,0.3877551020408163,49,25,23,24,2,True,0.25
mars_timebudget,0,256,s256_t3,Struggling,108.0,97.5,104.40118207776594,93.00147759720744,10.5,1.653525535218154,1.831597515933955,3537.895167266464,0.0,0,0.782608695652174,46,23,17,27,2,True,0.25
dkt_timebudget,0,256,s256_t3,Struggling,80.0,57.5,87.73558259216738,67.16947824020923,22.5,0.9576553744480912,1.3323900861886486,3602.5485702393494,2.548570239349374,1,0.4893617021276595,47,23,15,26,6,True,0.25
gkt_timebudget,0,256,s256_t3,Struggling,100.0,82.5,88.5642012378354,68.20525154729427,17.5,1.374027276382044,1.665487607735811,3602.5485702393494,2.548570239349374,1,0.6170212765957447,47,23,15,26,6,True,0.25
bkt_timebudget,0,256,s256_t3,Struggling,82.0,60.0,96.86304324665198,78.57880405831504,22.0,0.9992925646414866,1.3656998383433652,3602.548570239349,2.548570239348919,1,0.4893617021276595,47,23,15,26,6,True,0.25
mars_timebudget,0,298,s298_t11,Novice,116.0,109.5,106.87487677432006,98.09359596790006,6.5,1.8542806377457184,1.964352091127885,3543.152997589008,0.0,0,0.8666666666666667,45,24,23,20,2,True,0.25
dkt_timebudget,0,298,s298_t11,Novice,114.0,101.5,83.90090021484613,63.87612526855767,12.5,1.6910050089993187,1.8992568573982496,3601.4086106130826,1.408610613082601,1,0.6521739130434783,46,23,21,20,5,True,0.25
gkt_timebudget,0,298,s298_t11,Novice,86.0,66.0,87.13408312195062,67.41760390243829,20.0,1.0946851098104735,1.426407870359102,3617.478637930507,17.47863793050692,1,0.5217391304347826,46,23,20,21,5,True,0.25
bkt_timebudget,0,298,s298_t11,Novice,106.0,91.5,91.06016876622716,72.82521095778397,14.5,1.492267934937296,1.7287475530421137,3678.963992636273,78.96399263627245,1,0.6382978723404256,47,24,23,19,5,True,0.25
mars_timebudget,1,21,s21_t11,Advanced Learner,80.0,64.5,93.01786589116055,80.7723323639507,15.5,1.2202610155561986,1.5135020347983856,3171.452624204374,0.0,0,0.6666666666666666,45,22,17,27,1,True,0.25
dkt_timebudget,1,21,s21_t11,Advanced Learner,76.0,48.0,95.19423588684629,71.99279485855783,28.0,0.8106442940798887,1.283520132293157,3552.729626338648,0.0,0,0.44,50,22,17,27,6,True,0.25
gkt_timebudget,1,21,s21_t11,Advanced Learner,114.0,95.5,97.73859676292965,75.17324595366205,18.5,1.6128443767631118,1.9252801984397356,3552.7296263386484,0.0,0,0.6,50,22,17,27,6,True,0.25
bkt_timebudget,1,21,s21_t11,Advanced Learner,72.0,43.0,95.5336210898748,72.41702636234345,29.0,0.7262021801132338,1.2159664411198332,3552.7296263386474,0.0,0,0.44,50,22,17,27,6,True,0.25
mars_timebudget,1,21,s21_t19,Advanced Learner,104.0,92.0,111.64910253698667,101.5613781712333,12.0,1.6512053389700856,1.8665799484009664,3343.0124465579893,0.0,0,0.7916666666666666,48,23,21,27,0,True,0.25
dkt_timebudget,1,21,s21_t19,Advanced Learner,96.0,78.5,85.17594388444373,64.96992985555465,17.5,1.3546327934785882,1.6566209958464264,3476.9570194038324,0.0,0,0.64,50,24,21,27,2,True,0.25
gkt_timebudget,1,21,s21_t19,Advanced Learner,78.0,56.0,85.61254301984259,65.51567877480323,22.0,0.966362247577082,1.3460045591252214,3476.9570194038324,0.0,0,0.5,50,24,21,27,2,True,0.25
bkt_timebudget,1,21,s21_t19,Advanced Learner,72.0,51.5,81.68417972330587,63.60522465413231,20.5,0.974315997631868,1.362150520961058,3171.4556750688957,0.0,0,0.5217391304347826,46,23,19,25,2,True,0.25
mars_timebudget,1,27,s27_t20,High Achiever,148.0,145.5,126.91151449769008,119.13939312211264,2.5,2.5058595090485687,2.548915514358681,3483.834575911492,0.0,0,0.96,50,26,18,31,1,True,0.25
dkt_timebudget,1,27,s27_t20,High Achiever,104.0,80.0,102.79706585407256,78.49633231759071,24.0,1.379022889498681,1.792729756348285,3480.7254009721005,0.0,0,0.54,50,25,12,30,8,True,0.25
gkt_timebudget,1,27,s27_t20,High Achiever,102.0,77.5,103.4080827832222,79.26010347902775,24.5,1.3354153878651045,1.757578962093428,3482.0626168115678,0.0,0,0.48,50,24,12,30,8,True,0.25
bkt_timebudget,1,27,s27_t20,High Achiever,90.0,64.0,101.3448341166283,78.1810426457854,26.0,1.1054023273511075,1.554472022837495,3473.848303903838,0.0,0,0.44,50,26,14,28,8,True,0.25
mars_timebudget,1,35,s35_t4,High Achiever,112.0,101.0,112.04709831160744,101.0588728895093,11.0,1.8044867515299587,2.0010150115975778,3358.295645485868,0.0,0,0.78,50,27,21,28,1,True,0.25
dkt_timebudget,1,35,s35_t4,High Achiever,94.0,68.0,100.61771419637918,76.27214274547399,26.0,1.2336580122149488,1.7053507815912528,3307.2374674360835,0.0,0,0.48,50,24,13,30,7,True,0.25
gkt_timebudget,1,35,s35_t4,High Achiever,92.0,65.5,103.3343279063058,79.66790988288224,26.5,1.187999015293903,1.668639838275406,3308.083550075792,0.0,0,0.42,50,25,13,30,7,True,0.25
bkt_timebudget,1,35,s35_t4,High Achiever,122.0,104.5,109.95359133922835,89.44198917403541,17.5,1.8690649553210308,2.1820662636283803,3354.6185659037537,0.0,0,0.64,50,24,16,28,6,True,0.25
mars_timebudget,1,49,s49_t20,High Achiever,114.0,105.5,114.7230688781446,106.40383609768077,8.5,1.8475133125116132,1.9963650959841133,3426.2270031465387,0.0,0,0.82,50,23,29,21,0,True,0.25
